Key,07:00_1,07:00_2,13:00_1,13:00_2,17:00_1,17:00_2,21:00_1,21:00_2
GI3_OTCamera10,0.0,2.25,0.2666666666666666,2.0,0.4444444444444444,1.5,0.5,1.1428571428571428
KA1_Ost,1.0,1.0,1.1428571428571428,1.2857142857142858,1.1785714285714286,1.3636363636363635,1.0,1.0
KA1_West,3.0,0.0,1.48,1.7857142857142858,1.3404255319148937,1.2549019607843137,0.0,3.0
KA2_Nord,0.0,9.0,1.0,1.0,1.0454545454545454,0.9375,9.0,0.0
KA2_Sued,2.0,0.4,1.7142857142857142,0.3333333333333333,1.1,1.0,1.5,4.0
KA3_Nord,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
KA3_Sued,0.0,0.0,0.875,1.0,0.0,1.0,0.0,0.0
KA4_Nordwest,0.0,0.0,0.8,0.0,0.5,1.1666666666666667,0.0,0.0
KA4_Suedost,0.0,0.0,1.0,1.0,1.0,1.5,0.0,0.0
KA6_Ost,1.25,1.0,1.0,1.0,1.2,1.2,1.25,1.0
KA6_West,1.2857142857142858,1.0,1.0833333333333333,1.0526315789473684,1.0,1.05,1.2857142857142858,1.0
KA7_OTC08,0.5714285714285714,2.333333333333333,1.4782608695652173,0.75,1.5526315789473684,0.5925925925925926,0.8,1.15
KA7_OTC10,0.0,1.0,0.6666666666666666,1.4285714285714286,1.1578947368421053,0.8571428571428571,0.7407407407407407,1.2941176470588236
KA9_OTC11,2.0,0.5555555555555556,0.8461538461538461,1.1111111111111112,1.0714285714285714,0.8888888888888888,0.9090909090909092,1.3076923076923077
KA9_OTC12,1.2727272727272727,0.5,1.0,1.1666666666666667,1.0,0.9473684210526316,1.5,1.5
L3_Nordost,2.0,0.8571428571428571,1.0,0.0,0.0,0.5,0.0,0.0
L3_Suedwest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L4_Nordost,1.6666666666666667,1.0,1.4285714285714286,0.6666666666666666,1.0625,0.8888888888888888,3.0,0.8333333333333334
L4_Suedwest,1.75,0.5714285714285714,1.1875,0.4,1.3333333333333333,0.3333333333333333,1.5,1.0
LD2_OTCamera12,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LD2_OTCamera13,0.4,1.6666666666666667,0.0,1.5,1.0,1.0,0.0,1.0
M11_OTCamera06,1.0,1.0,1.7777777777777777,1.0,1.1666666666666667,1.0769230769230769,1.0,3.0
M11_OTCamera07,1.3333333333333333,0.25,0.9,0.8,0.8333333333333334,0.8333333333333334,1.5,2.0
M14_OTCamera08,1.0,0.0,0.3452380952380952,1.7142857142857142,1.893617021276596,0.2142857142857142,2.4285714285714284,0.2222222222222222
M14_OTCamera10,0.8333333333333334,1.3333333333333333,1.2857142857142858,1.2941176470588236,1.3333333333333333,1.2884615384615383,1.8,1.75
M3_OTCamera11,1.0,0.0,1.1428571428571428,0.7647058823529411,1.105263157894737,1.0,1.0,1.5
M3_OTCamera12,1.3333333333333333,1.0,1.2857142857142858,0.9473684210526316,0.92,1.1176470588235294,0.8571428571428571,2.0
M4_OTCamera13,1.0,1.0,0.0,2.0,0.6,1.0,1.0,0.0
M4_OTCamera14,0.0,0.3333333333333333,1.5,0.3333333333333333,0.4,1.1111111111111112,0.0,0.0
M6_OTCamera02,1.2,0.0,1.0526315789473684,1.0,0.8285714285714286,0.8695652173913043,1.0,1.0
M6_OTCamera05,0.0,0.75,0.2307692307692307,0.7142857142857143,0.3333333333333333,0.9473684210526316,1.1428571428571428,2.0
M7_OTCamera15,0.4,1.2307692307692308,1.4375,0.5609756097560976,1.1216216216216215,0.6176470588235294,1.4545454545454546,0.3846153846153846
M7_OTCamera16,0.55,1.2857142857142858,0.5307692307692308,1.3695652173913044,0.6227544910179641,1.277027027027027,0.7985074626865671,1.4558823529411764
