start time(ohne Tag),count,count_anteilig,gleitender_MW_15min,gleitender_Stundenwert_aus_MW,n
18:00,97.375,0.021108822891827445,0.021546419615962976,0.0861856784638521,8
18:15,93.625,0.020295902883156296,0.020824492490286613,0.08329796996114658,8
18:30,90.125,0.019537177541729893,0.0199155350009643,0.07966214000385732,8
18:45,89.625,0.019428788207240408,0.01867877404207334,0.07471509616829351,8
19:00,74.25,0.016095816171688707,0.01716257819513691,0.06865031278054781,8
19:15,64.25,0.01392802948189898,0.015512467606791938,0.06204987042716796,8
19:30,61.125,0.013250596141339692,0.01320836640116245,0.052833465604649986,8
19:45,46.125,0.009998916106655105,0.012050343747904625,0.04820137499161872,8
20:00,53.75,0.01165185345761977,0.010881579961857988,0.04352631984743216,8
20:15,40.75,0.008833730760893128,0.00978821732214605,0.03915286928858432,8
20:30,39.625,0.008589854758291784,0.009109835279517862,0.036439341118071636,8
